career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
6,67,5,1,1,4,,22,Sandeep Kumar Dhull,100.0,290,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",67,67,3.04,0,,0.0,0,1,0,,26,"Pro Kabaddi League Season 6, 2018",0.0,0,62,2.81,0,0,5,,52.34,128,,67,0,67,66,0,0
8,61,7,2,0,5,,18,Sandeep Kumar Dhull,66.66,290,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",62,62,3.44,1,,0.05,0,3,0,,49,"Pro Kabaddi League Season 7, 2019",33.33,0,54,3.0,0,0,7,,53.98,113,,61,1,61,59,1,0
5,0,0,10,0,0,,7,Nilesh Salunke,75.0,293,0,"[{'team_id': 7, 'team_name': 'Puneri Paltan', 'team_short_name': 'Pune', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",10,10,1.42,2,,1.42,8,20,0,,3,"Pro Kabaddi League Season 3, 2016",50.0,5,0,0.0,0,1,0,,0.0,3,,0,10,0,3,5,0
10,1,0,58,0,0,,15,Nilesh Salunke,75.53,293,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",62,62,4.13,16,,4.06,45,139,0,,4,"Pro Kabaddi League Season 4, 2016",43.88,47,1,0.06,1,1,0,,10.0,10,,1,61,1,9,34,0
11,7,2,129,2,0,,21,Nilesh Salunke,83.8,293,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",105,105,5.0,36,,4.66,62,247,0,,8,"Pro Kabaddi League Season 5, 2017",39.67,78,5,0.23,3,2,2,,38.88,18,,7,98,7,13,40,0
9,4,0,89,5,0,,19,Nilesh Salunke,73.63,293,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",85,85,4.47,34,,4.26,47,201,0,,26,"Pro Kabaddi League Season 6, 2018",40.29,59,4,0.21,0,4,0,,19.04,21,,4,81,4,17,53,0
15,2,0,54,1,0,,15,Nilesh Salunke,77.06,293,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",43,43,2.86,22,,2.73,19,109,0,,49,"Pro Kabaddi League Season 7, 2019",37.61,30,2,0.13,1,1,0,,33.33,6,,2,41,2,4,25,0
3,3,0,0,0,0,,3,Sandeep,0.0,299,0,"[{'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",3,3,1.0,0,,0.0,0,0,0,,3,"Pro Kabaddi League Season 3, 2016",0.0,0,3,1.0,0,0,0,,30.0,10,,3,0,3,7,0,0
4,16,3,1,0,0,,10,Sandeep,50.0,299,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",16,16,1.6,0,,0.0,0,2,0,,26,"Pro Kabaddi League Season 6, 2018",0.0,0,13,1.3,0,0,3,,47.05,34,,16,0,16,21,1,0
0,0,0,0,0,0,,1,Sandeep,0.0,299,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",0,0,0.0,0,,0.0,0,0,0,,49,"Pro Kabaddi League Season 7, 2019",0.0,0,0,0.0,0,0,0,,0.0,1,,0,0,0,1,0,0
